,site_id,site_name,latitude,longitude,mean,max,min,50%
0,SA33,Southampton A33,50.920265,-1.463484,25.76616415410384,95.9,0.5,20.7
1,SOUT,Southampton Centre,50.90814,-1.395778,26.940404040404026,97.4,-5.3,21.9
