dev_id,timestamp,p_temperature,p_humidity,p_pm25,p_pm10,p_count,p_pm_sensor_count,p_temphum_sensor_count,p_corrected,p_display
nesta-4,1579792507085650000,12.0,64.0,19,15,265,5,1,False,True
aurn-3,1579792507307535000,18.0,40.0,10,12,260,6,1,False,True
nesta-12,1579792507540363000,10.0,70.0,16,14,254,8,1,False,True
b2-new-forest,1579792507560634000,9.0,100.0,27,21,20,4,1,False,True
aurn-4,1579792507957179000,9.0,15.0,12,17,184,7,3,False,True
b1-lanchester,1579792510760718000,8.0,100.0,24,18,31,5,1,False,True
nesta-2-1,1579792512106392000,12.0,69.0,19,17,273,6,1,False,True
nesta-6,1579793396067020000,16.0,45.0,20,18,301,6,1,False,True
nesta-11,1579793406501093000,11.0,67.0,17,15,275,6,1,False,True
nesta-12,1579793406618270000,10.0,70.0,18,16,296,8,1,False,True
nesta-4,1579793406775645000,12.0,64.0,16,13,230,5,1,False,True
nesta-8,1579793407156885000,17.0,46.0,18,16,244,6,1,False,True
nesta-7,1579793407286633000,15.0,48.0,21,17,181,4,1,False,True
aurn-2,1579793407314396000,7.0,5.0,14,13,104,10,2,False,True
aurn-3,1579793407470896000,17.0,41.0,11,12,276,6,1,False,True
aurn-1,1579793407571376000,8.0,36.0,15,15,197,7,3,False,True
aurn-4,1579793407690631000,9.0,15.0,12,20,194,7,3,False,True
nesta-5,1579793407794779000,null,null,19,16,279,6,0,False,True
b2-new-forest,1579793408092510000,9.0,100.0,29,22,22,4,1,False,True
b1-lanchester,1579793411110551000,8.0,100.0,25,19,32,5,1,False,True
nesta-2-1,1579793412001218000,12.0,87.0,15,14,226,6,1,False,True
nesta-6,1579794295445964000,16.0,45.0,21,19,308,6,1,False,True
nesta-11,1579794306698566000,11.0,66.0,18,15,296,6,1,False,True
nesta-12,1579794306880533000,10.0,70.0,18,16,278,8,1,False,True
nesta-1,1579794307138290000,null,null,18,15,267,7,0,False,True
nesta-7,1579794307144466000,15.0,49.0,25,21,197,4,1,False,True
b2-new-forest,1579794307666591000,9.0,100.0,29,23,22,4,1,False,True
nesta-5,1579794307715206000,null,null,21,17,296,6,0,False,True
aurn-3,1579794307866682000,17.0,41.0,10,12,257,6,1,False,True
aurn-4,1579794308334985000,9.0,15.0,12,14,194,7,3,False,True
aurn-2,1579794308865765000,7.0,5.0,15,14,104,10,2,False,True
b1-lanchester,1579794310990454000,8.0,100.0,28,21,38,5,1,False,True
nesta-2-1,1579794312568928000,12.0,73.0,17,15,236,6,1,False,True
nesta-6,1579795196511527000,16.0,45.0,23,20,348,6,1,False,True
nesta-4,1579795206566582000,12.0,64.0,19,15,280,5,1,False,True
nesta-11,1579795206758348000,11.0,65.0,19,16,312,6,1,False,True
nesta-8,1579795206985974000,17.0,46.0,19,17,265,6,1,False,True
nesta-1,1579795207478037000,null,null,17,15,291,8,0,False,True
nesta-12,1579795207590933000,10.0,70.0,19,17,316,8,1,False,True
aurn-1,1579795207785320000,9.0,35.0,16,17,232,8,3,False,True
nesta-7,1579795208018372000,16.0,48.0,24,20,204,4,1,False,True
aurn-3,1579795208273145000,18.0,41.0,12,18,292,6,1,False,True
aurn-4,1579795208489667000,10.0,16.0,14,23,220,7,3,False,True
b2-new-forest,1579795208702471000,10.0,100.0,26,20,20,4,1,False,True
b1-lanchester,1579795212702728000,8.0,100.0,29,22,39,5,1,False,True
nesta-2-1,1579795212893258000,12.0,79.0,20,17,279,6,1,False,True
nesta-6,1579796095744911000,16.0,46.0,28,25,426,6,1,False,True
nesta-1,1579796105858902000,null,null,18,16,311,8,0,False,True
nesta-11,1579796106030948000,11.0,65.0,21,18,340,6,1,False,True
aurn-2,1579796106816555000,11.0,7.0,15,18,119,7,2,False,True
b2-new-forest,1579796107020215000,10.0,100.0,23,18,18,4,1,False,True
nesta-12,1579796107032931000,10.0,71.0,21,19,341,8,1,False,True
aurn-1,1579796107155425000,10.0,35.0,17,16,232,8,3,False,True
nesta-4,1579796107279682000,12.0,63.0,22,17,312,5,1,False,True
aurn-3,1579796107439024000,18.0,41.0,12,21,286,6,1,False,True
nesta-5,1579796107461253000,null,null,24,21,351,6,0,False,True
nesta-8,1579796107518517000,17.0,46.0,22,19,297,6,1,False,True
b1-lanchester,1579796111287144000,8.0,100.0,28,21,38,5,1,False,True
nesta-2-1,1579796111874689000,12.0,62.0,21,18,293,6,1,False,True
nesta-6,1579796996030890000,16.0,46.0,24,22,365,6,1,False,True
nesta-11,1579797006656658000,12.0,65.0,20,17,316,6,1,False,True
nesta-4,1579797006756321000,12.0,63.0,21,17,300,5,1,False,True
nesta-12,1579797006862808000,10.0,70.0,21,19,330,8,1,False,True
nesta-1,1579797006884517000,null,null,18,16,304,8,0,False,True
nesta-8,1579797006894765000,17.0,46.0,22,19,286,6,1,False,True
nesta-7,1579797007195355000,16.0,48.0,24,20,208,4,1,False,True
aurn-4,1579797007294744000,11.0,16.0,15,23,223,7,3,False,True
aurn-1,1579797007621804000,9.0,35.0,17,16,233,8,3,False,True
aurn-3,1579797007792184000,18.0,40.0,12,21,284,6,1,False,True
b2-new-forest,1579797007850547000,10.0,100.0,22,17,18,4,1,False,True
nesta-5,1579797008076075000,null,null,24,21,354,6,0,False,True
b1-lanchester,1579797011948797000,8.0,100.0,29,21,38,5,1,False,True
nesta-2-1,1579797012927412000,12.0,62.0,22,19,305,6,1,False,True
nesta-6,1579797895713306000,16.0,46.0,23,21,346,6,1,False,True
nesta-11,1579797906330627000,11.0,65.0,21,18,338,6,1,False,True
nesta-1,1579797906463054000,null,null,17,16,291,8,0,False,True
nesta-4,1579797907154759000,12.0,64.0,21,17,308,5,1,False,True
nesta-7,1579797907255481000,16.0,48.0,26,22,228,4,1,False,True
aurn-1,1579797907283155000,9.0,35.0,16,17,227,8,3,False,True
nesta-12,1579797907432749000,10.0,71.0,31,29,569,8,1,False,True
b2-new-forest,1579797907546029000,10.0,100.0,25,19,20,4,1,False,True
aurn-3,1579797907980711000,18.0,40.0,12,21,280,6,1,False,True
aurn-2,1579797908723976000,10.0,7.0,15,18,119,7,2,False,True
nesta-5,1579797908800177000,null,null,25,22,368,6,0,False,True
b1-lanchester,1579797911171408000,8.0,100.0,29,22,39,5,1,False,True
nesta-2-1,1579797913238429000,13.0,69.0,20,18,280,6,1,False,True
nesta-6,1579798797010969000,16.0,46.0,24,22,352,6,1,False,True
nesta-11,1579798806227822000,11.0,67.0,23,20,363,6,1,False,True
nesta-4,1579798806896202000,11.0,65.0,23,19,331,5,1,False,True
nesta-12,1579798807114806000,10.0,71.0,33,32,642,8,1,False,True
aurn-3,1579798807353863000,18.0,40.0,12,20,271,6,1,False,True
nesta-8,1579798807437293000,17.0,46.0,22,20,306,6,1,False,True
aurn-2,1579798807561872000,10.0,7.0,14,18,116,7,2,False,True
nesta-1,1579798807682590000,null,null,18,16,303,8,0,False,True
nesta-7,1579798807918504000,15.0,47.0,24,20,215,4,1,False,True
nesta-5,1579798808237297000,null,null,24,21,345,6,0,False,True
b2-new-forest,1579798808444212000,10.0,100.0,23,18,18,4,1,False,True
aurn-4,1579798808543697000,10.0,16.0,14,22,212,7,3,False,True
aurn-1,1579798809021104000,9.0,35.0,17,15,221,7,3,False,True
b1-lanchester,1579798812363234000,8.0,100.0,28,21,38,5,1,False,True
nesta-2-1,1579798812975619000,12.0,71.0,24,21,338,6,1,False,True
nesta-6,1579799695184663000,16.0,46.0,24,22,348,6,1,False,True
nesta-1,1579799706189096000,null,null,18,17,308,8,0,False,True
nesta-4,1579799706463090000,11.0,65.0,23,19,326,5,1,False,True
nesta-11,1579799706823020000,11.0,67.0,23,20,366,6,1,False,True
nesta-5,1579799706937141000,null,null,26,22,362,6,0,False,True
aurn-2,1579799706945003000,8.0,6.0,12,16,114,8,2,False,True
nesta-12,1579799707115464000,10.0,71.0,26,24,445,8,1,False,True
aurn-1,1579799707263661000,8.0,35.0,15,15,218,8,3,False,True
aurn-3,1579799707462206000,18.0,41.0,12,17,291,6,1,False,True
b2-new-forest,1579799707520787000,10.0,100.0,25,19,19,4,1,False,True
nesta-7,1579799707614851000,15.0,55.0,25,21,222,4,1,False,True
aurn-4,1579799707963203000,10.0,16.0,14,21,207,7,3,False,True
b1-lanchester,1579799710747512000,8.0,100.0,28,20,36,5,1,False,True
nesta-6,1579800595755943000,16.0,46.0,25,22,365,6,1,False,True
nesta-4,1579800606137399000,11.0,65.0,23,18,329,5,1,False,True
nesta-11,1579800606439174000,11.0,66.0,22,19,355,6,1,False,True
nesta-8,1579800606678411000,17.0,46.0,23,20,307,6,1,False,True
nesta-7,1579800606739364000,15.0,48.0,27,22,234,4,1,False,True
b2-new-forest,1579800606877596000,10.0,100.0,30,23,24,4,1,False,True
nesta-1,1579800607126832000,null,null,18,17,314,8,0,False,True
nesta-12,1579800607311698000,10.0,71.0,25,23,422,8,1,False,True
aurn-4,1579800607450325000,10.0,16.0,15,23,221,7,3,False,True
nesta-5,1579800607450817000,null,null,25,22,355,6,0,False,True
aurn-3,1579800607690954000,17.0,41.0,13,19,316,6,1,False,True
aurn-2,1579800607700270000,9.0,7.0,15,17,126,9,2,False,True
aurn-1,1579800607883952000,9.0,35.0,18,16,225,6,3,False,True
b1-lanchester,1579800611236569000,8.0,100.0,28,21,38,5,1,False,True
nesta-2-1,1579800612437276000,13.0,70.0,21,19,295,6,1,False,True
nesta-6,1579801496666473000,16.0,46.0,24,22,344,6,1,False,True
nesta-11,1579801506636508000,11.0,68.0,22,19,358,6,1,False,True
nesta-4,1579801506899283000,11.0,65.0,24,19,353,5,1,False,True
nesta-5,1579801506999653000,null,null,27,23,392,6,0,False,True
nesta-1,1579801507134690000,null,null,17,16,294,8,0,False,True
aurn-1,1579801507510907000,8.0,35.0,17,16,221,6,3,False,True
aurn-2,1579801507597359000,9.0,7.0,15,17,121,9,2,False,True
b2-new-forest,1579801507599572000,10.0,100.0,34,26,28,4,1,False,True
nesta-7,1579801507669617000,15.0,48.0,27,22,233,4,1,False,True
nesta-12,1579801507834649000,10.0,72.0,22,20,364,7,1,False,True
aurn-3,1579801507920824000,17.0,42.0,13,18,309,6,1,False,True
aurn-4,1579801508240676000,10.0,16.0,14,22,216,7,3,False,True
b1-lanchester,1579801511250049000,8.0,100.0,28,21,37,5,1,False,True
nesta-2-1,1579801512424981000,12.0,73.0,20,17,282,6,1,False,True
nesta-6,1579802396551065000,16.0,45.0,24,21,346,6,1,False,True
nesta-11,1579802406442556000,11.0,67.0,21,18,328,6,1,False,True
nesta-8,1579802406916338000,17.0,46.0,29,25,437,6,1,False,True
nesta-4,1579802406945585000,11.0,65.0,25,21,363,5,1,False,True
b2-new-forest,1579802407263874000,9.0,100.0,36,28,30,4,1,False,True
aurn-3,1579802407277704000,17.0,42.0,14,20,330,6,1,False,True
nesta-5,1579802407466914000,null,null,24,20,343,6,0,False,True
nesta-7,1579802407489931000,15.0,48.0,25,20,213,4,1,False,True
nesta-12,1579802407623739000,10.0,72.0,33,30,635,8,1,False,True
aurn-4,1579802408039101000,10.0,16.0,15,24,230,7,3,False,True
aurn-2,1579802408182823000,9.0,7.0,15,18,129,9,2,False,True
aurn-1,1579802408788820000,9.0,35.0,18,17,234,7,3,False,True
b1-lanchester,1579802412928594000,8.0,100.0,32,22,38,4,1,False,True
nesta-6,1579803295915350000,16.0,46.0,22,20,323,6,1,False,True
nesta-11,1579803306057879000,11.0,67.0,27,23,455,6,1,False,True
nesta-8,1579803306497273000,17.0,46.0,31,27,484,6,1,False,True
nesta-4,1579803306538694000,11.0,65.0,25,20,353,5,1,False,True
nesta-12,1579803306837347000,10.0,72.0,40,39,720,8,1,False,True
nesta-5,1579803306938096000,null,null,25,22,362,6,0,False,True
aurn-1,1579803307046589000,9.0,35.0,18,19,258,8,3,False,True
nesta-1,1579803307226978000,null,null,21,19,375,8,0,False,True
aurn-3,1579803307269645000,17.0,42.0,14,23,317,6,1,False,True
aurn-4,1579803307421906000,11.0,16.0,16,24,245,7,3,False,True
b2-new-forest,1579803307536562000,10.0,100.0,40,30,34,4,1,False,True
aurn-2,1579803307762632000,10.0,8.0,16,19,136,7,2,False,True
nesta-7,1579803307817584000,15.0,48.0,30,25,267,4,1,False,True
b1-lanchester,1579803311257079000,8.0,100.0,26,20,35,5,1,False,True
nesta-2-1,1579803311799673000,12.0,77.0,24,21,340,6,1,False,True
nesta-6,1579804196083583000,16.0,45.0,23,20,341,6,1,False,True
nesta-11,1579804206290384000,11.0,67.0,28,25,464,6,1,False,True
nesta-4,1579804206566915000,11.0,65.0,24,20,352,5,1,False,True
nesta-1,1579804207011171000,null,null,20,18,329,8,0,False,True
nesta-12,1579804207096048000,10.0,71.0,24,23,396,8,1,False,True
nesta-8,1579804207104246000,17.0,47.0,23,20,314,6,1,False,True
aurn-2,1579804207292555000,10.0,7.0,16,18,128,8,2,False,True
nesta-5,1579804207741087000,null,null,26,23,372,6,0,False,True
b2-new-forest,1579804207872480000,10.0,100.0,40,30,33,4,1,False,True
aurn-4,1579804207948299000,11.0,16.0,15,23,231,7,3,False,True
aurn-1,1579804208045326000,9.0,36.0,18,17,240,6,3,False,True
b1-lanchester,1579804211938139000,8.0,100.0,29,21,39,5,1,False,True
nesta-2-1,1579804212497187000,13.0,69.0,24,21,342,6,1,False,True
nesta-6,1579805095863398000,16.0,46.0,25,22,361,6,1,False,True
nesta-4,1579805106489938000,11.0,65.0,27,22,406,5,1,False,True
nesta-8,1579805106818982000,17.0,47.0,23,21,313,6,1,False,True
nesta-11,1579805106820823000,11.0,68.0,24,21,384,6,1,False,True
nesta-7,1579805107562976000,15.0,49.0,27,23,238,4,1,False,True
nesta-1,1579805107707357000,null,null,19,17,316,8,0,False,True
aurn-3,1579805107724536000,17.0,41.0,12,21,285,6,1,False,True
nesta-12,1579805107749586000,10.0,72.0,23,21,385,8,1,False,True
b2-new-forest,1579805107786670000,9.0,100.0,44,34,38,4,1,False,True
aurn-1,1579805108222515000,9.0,35.0,15,16,230,9,3,False,True
b1-lanchester,1579805111291079000,7.0,100.0,32,24,44,5,1,False,True
nesta-2-1,1579805112316679000,12.0,98.0,23,20,322,6,1,False,True
nesta-6,1579805995988383000,16.0,46.0,24,22,353,6,1,False,True
nesta-11,1579806006645860000,11.0,68.0,25,22,422,6,1,False,True
nesta-4,1579806006670400000,11.0,66.0,26,21,376,5,1,False,True
nesta-1,1579806007038584000,null,null,19,17,315,8,0,False,True
nesta-7,1579806007180812000,15.0,49.0,28,23,249,4,1,False,True
nesta-12,1579806007317165000,10.0,72.0,23,21,387,8,1,False,True
b2-new-forest,1579806007487809000,9.0,100.0,50,38,44,4,1,False,True
aurn-2,1579806007568844000,8.0,6.0,13,14,110,9,2,False,True
nesta-5,1579806008087368000,null,null,26,23,374,6,0,False,True
aurn-4,1579806008098526000,9.0,16.0,13,21,199,7,3,False,True
aurn-1,1579806008604299000,8.0,35.0,16,15,207,7,3,False,True
b1-lanchester,1579806011756062000,7.0,100.0,35,26,50,5,1,False,True
nesta-2-1,1579806012951972000,12.0,73.0,21,19,292,6,1,False,True
nesta-6,1579806895126577000,16.0,46.0,27,24,392,6,1,False,True
nesta-11,1579806906144138000,10.0,69.0,26,23,404,6,1,False,True
nesta-4,1579806906332542000,11.0,67.0,28,23,409,5,1,False,True
nesta-12,1579806906518378000,9.0,72.0,30,29,521,8,1,False,True
aurn-2,1579806907030338000,8.0,6.0,14,16,115,9,2,False,True
aurn-3,1579806907329256000,17.0,42.0,12,17,286,6,1,False,True
nesta-5,1579806907576962000,null,null,26,23,370,6,0,False,True
b2-new-forest,1579806907682294000,9.0,100.0,50,38,43,4,1,False,True
nesta-7,1579806907690126000,15.0,49.0,27,22,239,4,1,False,True
aurn-1,1579806907795391000,8.0,35.0,16,17,213,7,3,False,True
b1-lanchester,1579806910837283000,7.0,100.0,41,31,61,5,1,False,True
nesta-2-1,1579806913122339000,12.0,76.0,27,25,407,6,1,False,True
