nesta-2,2019-03-15 21:15:11.159919,21,42,6,7,49,8,1
nesta-6,2019-03-15 21:15:13.261232,14,16,2,2,8,7,2
nesta-1,2019-03-15 21:15:16.380494,18,60,5,7,46,8,1
nesta-4,2019-03-15 21:15:16.548110,19,64,5,7,54,8,1
nesta-5,2019-03-15 21:30:09.715553,19,89,15,15,155,8,1
nesta-6,2019-03-15 21:30:11.473129,14,16,2,2,8,7,2
nesta-4,2019-03-15 21:30:16.881234,20,57,6,8,61,8,1
nesta-1,2019-03-15 21:30:17.037880,19,66,6,7,54,8,1
nesta-5,2019-03-15 21:45:09.524118,19,94,11,11,95,8,1
nesta-2,2019-03-15 21:45:10.347630,21,42,7,8,60,8,1
nesta-6,2019-03-15 21:45:12.278408,14,16,2,2,9,7,2
nesta-1,2019-03-15 21:45:17.446916,19,85,6,8,57,8,1
nesta-4,2019-03-15 21:45:17.626271,20,56,6,8,61,8,1
nesta-2,2019-03-15 22:00:10.226813,21,42,11,12,123,8,1
nesta-5,2019-03-15 22:00:10.991973,19,84,10,11,93,8,1
nesta-6,2019-03-15 22:00:14.343287,14,16,2,2,9,7,2
nesta-4,2019-03-15 22:00:19.814188,19,70,6,8,60,8,1
nesta-5,2019-03-15 22:15:09.173547,19,56,19,19,210,8,1
nesta-6,2019-03-15 22:15:11.837370,14,16,2,2,9,7,2
nesta-4,2019-03-15 22:15:16.790330,19,73,6,8,59,8,1
nesta-1,2019-03-15 22:15:16.978910,18,73,6,8,58,8,1
nesta-2,2019-03-15 22:30:09.565717,20,43,8,10,77,8,1
nesta-5,2019-03-15 22:30:10.267220,18,77,10,11,83,8,1
nesta-6,2019-03-15 22:30:12.394890,14,16,2,2,9,7,2
nesta-4,2019-03-15 22:30:16.598782,19,66,8,10,81,8,1
nesta-1,2019-03-15 22:30:18.113012,18,75,6,8,56,8,1
nesta-2,2019-03-15 22:45:08.967956,19,44,7,10,60,8,1
nesta-5,2019-03-15 22:45:09.770786,18,83,10,12,92,8,1
nesta-6,2019-03-15 22:45:13.153037,14,16,2,2,9,7,2
nesta-4,2019-03-15 22:45:17.342945,18,59,8,10,72,8,1
nesta-1,2019-03-15 22:45:17.620869,17,69,7,10,65,8,1
nesta-5,2019-03-15 23:00:10.378828,18,76,11,12,93,8,1
nesta-2,2019-03-15 23:00:12.334061,19,44,8,11,67,8,1
nesta-6,2019-03-15 23:00:14.330085,14,16,2,2,10,7,2
nesta-4,2019-03-15 23:00:19.488250,18,66,9,12,80,8,1
nesta-1,2019-03-15 23:00:19.942193,17,69,8,11,74,8,1
nesta-2,2019-03-15 23:15:08.674623,19,45,21,21,228,8,1
nesta-5,2019-03-15 23:15:09.589384,18,91,8,10,70,8,1
nesta-6,2019-03-15 23:15:12.096935,14,16,2,2,10,7,2
nesta-4,2019-03-15 23:15:16.143076,18,74,8,11,79,8,1
nesta-1,2019-03-15 23:15:17.600885,17,63,8,10,68,8,1
nesta-6,2019-03-15 23:30:11.566860,14,16,2,2,10,7,2
nesta-4,2019-03-15 23:30:15.820208,18,69,8,11,76,8,1
nesta-1,2019-03-15 23:30:17.039422,17,78,7,10,68,8,1
nesta-5,2019-03-15 23:45:08.896394,18,77,9,12,77,8,1
nesta-2,2019-03-15 23:45:09.939726,19,44,8,11,66,8,1
nesta-6,2019-03-15 23:45:12.437755,14,16,2,2,10,7,2
nesta-4,2019-03-15 23:45:16.478275,18,74,9,13,83,8,1
nesta-1,2019-03-15 23:45:17.519043,17,63,8,12,77,8,1
nesta-6,2019-03-16 00:00:13.852866,14,19,2,2,10,7,2
nesta-4,2019-03-16 00:00:19.637916,18,60,9,13,84,8,1
nesta-1,2019-03-16 00:00:20.246355,17,69,9,13,79,8,1
nesta-5,2019-03-16 00:15:09.472760,18,64,10,12,84,8,1
nesta-2,2019-03-16 00:15:09.573219,19,44,9,12,70,8,1
nesta-6,2019-03-16 00:15:12.416341,14,16,2,2,10,7,2
nesta-1,2019-03-16 00:15:16.671386,17,63,9,12,81,8,1
nesta-4,2019-03-16 00:15:16.713913,18,80,9,13,85,8,1
nesta-5,2019-03-16 00:30:08.836559,18,90,10,14,84,8,1
nesta-6,2019-03-16 00:30:11.988296,14,16,2,2,10,7,2
nesta-4,2019-03-16 00:30:16.444114,17,61,11,15,99,8,1
nesta-2,2019-03-16 00:45:09.799586,18,45,10,15,82,8,1
nesta-6,2019-03-16 00:45:12.949799,14,16,2,2,10,7,2
nesta-4,2019-03-16 00:45:16.527828,17,71,11,17,103,8,1
nesta-1,2019-03-16 00:45:17.021640,16,77,11,15,92,8,1
nesta-5,2019-03-16 01:00:10.063935,17,78,11,15,88,8,1
nesta-2,2019-03-16 01:00:10.434689,18,44,10,15,79,8,1
nesta-6,2019-03-16 01:00:14.293987,14,16,2,2,10,7,2
nesta-4,2019-03-16 01:00:18.570013,17,69,11,16,98,8,1
nesta-1,2019-03-16 01:00:20.070920,16,83,10,15,92,8,1
nesta-6,2019-03-16 01:15:11.531714,14,16,2,2,10,7,2
nesta-4,2019-03-16 01:15:16.034411,16,81,9,14,88,8,1
nesta-1,2019-03-16 01:15:17.084630,16,70,9,13,82,8,1
nesta-5,2019-03-16 01:30:09.682446,16,86,9,12,75,8,1
nesta-6,2019-03-16 01:30:12.159020,14,16,2,2,10,7,2
nesta-4,2019-03-16 01:30:16.754566,16,74,9,14,85,8,1
nesta-1,2019-03-16 01:30:17.015422,16,63,8,13,79,8,1
nesta-6,2019-03-16 01:45:12.237262,14,16,2,2,10,7,2
nesta-1,2019-03-16 01:45:17.457363,16,63,8,12,74,8,1
nesta-4,2019-03-16 01:45:17.486880,16,67,9,13,80,8,1
nesta-5,2019-03-16 02:00:10.219486,16,79,8,11,66,8,1
nesta-2,2019-03-16 02:00:11.331870,17,45,7,11,61,8,1
nesta-6,2019-03-16 02:00:13.849875,14,16,2,2,10,7,2
nesta-4,2019-03-16 02:00:19.192117,16,68,8,12,76,8,1
nesta-1,2019-03-16 02:00:20.164870,15,78,7,12,70,8,1
nesta-2,2019-03-16 02:15:08.646874,17,45,8,12,62,8,1
nesta-6,2019-03-16 02:15:12.279903,14,16,2,2,10,7,2
nesta-1,2019-03-16 02:15:15.903206,15,64,7,12,68,8,1
nesta-4,2019-03-16 02:15:16.395119,16,69,8,12,76,8,1
nesta-2,2019-03-16 02:30:09.359453,17,45,7,11,59,8,1
nesta-5,2019-03-16 02:30:09.685922,16,78,8,11,62,8,1
nesta-6,2019-03-16 02:30:12.018499,14,20,2,2,11,7,2
nesta-4,2019-03-16 02:30:16.313562,16,83,8,12,69,8,1
nesta-1,2019-03-16 02:30:17.566999,15,76,7,11,64,8,1
nesta-5,2019-03-16 02:45:09.092112,16,92,7,11,61,8,1
nesta-2,2019-03-16 02:45:10.122406,17,45,7,11,59,8,1
nesta-6,2019-03-16 02:45:12.967468,14,16,2,2,10,7,2
nesta-4,2019-03-16 02:45:16.550257,16,70,8,12,73,8,1
nesta-1,2019-03-16 02:45:17.355572,15,78,7,11,67,8,1
nesta-5,2019-03-16 03:00:10.610811,16,98,8,11,66,8,1
nesta-2,2019-03-16 03:00:10.837034,17,45,7,11,58,8,1
nesta-6,2019-03-16 03:00:14.111792,14,16,2,2,10,7,2
nesta-1,2019-03-16 03:00:19.303744,15,65,7,11,67,8,1
nesta-4,2019-03-16 03:00:19.595864,16,63,8,12,74,8,1
nesta-2,2019-03-16 03:15:09.506795,17,45,7,10,57,8,1
nesta-6,2019-03-16 03:15:12.725896,14,16,2,2,10,7,2
nesta-1,2019-03-16 03:15:16.472830,15,77,7,11,65,8,1
nesta-4,2019-03-16 03:15:16.660392,16,63,7,11,68,8,1
nesta-6,2019-03-16 03:30:12.623378,14,16,2,3,12,7,2
nesta-1,2019-03-16 03:30:16.839385,15,77,6,10,59,8,1
